EmployeeID,EventDate,EventType,OldValue,NewValue
E0004,2019-07-16,Promotion,JL4,JL5
E0004,2020-03-03,Promotion,JL5,JL6
E0004,2020-08-27,Promotion,JL6,JL6
E0004,2022-01-24,Promotion,JL6,JL6
E0005,2024-12-08,DepartmentChange,D001,D004
E0007,2025-08-21,Promotion,JL3,JL4
E0008,2024-02-09,DepartmentChange,D008,D003
E0008,2024-03-31,Promotion,JL2,JL3
E0009,2023-07-04,Promotion,JL3,JL4
E0009,2024-05-26,Promotion,JL4,JL5
E0011,2024-05-12,DepartmentChange,D002,D007
E0011,2024-12-01,JobLevelChange,JL2,JL1
E0011,2025-04-28,Promotion,JL1,JL2
E0012,2020-03-17,DepartmentChange,D004,D001
E0013,2022-11-01,JobLevelChange,JL3,JL1
E0013,2023-09-24,Promotion,JL1,JL2
E0015,2020-11-07,Promotion,JL6,JL6
E0015,2021-09-27,Promotion,JL6,JL6
E0015,2023-02-27,Promotion,JL6,JL6
E0015,2023-09-11,DepartmentChange,D006,D010
E0015,2024-03-11,JobLevelChange,JL6,JL1
E0018,2022-02-01,JobLevelChange,JL2,JL1
E0018,2022-06-29,JobLevelChange,JL1,JL4
E0018,2023-09-19,DepartmentChange,D007,D008
E0018,2024-12-19,DepartmentChange,D008,D001
E0019,2024-08-27,DepartmentChange,D008,D006
E0019,2025-07-25,Promotion,JL1,JL2
E0020,2024-03-31,DepartmentChange,D001,D007
E0020,2024-06-11,JobLevelChange,JL4,JL1
E0022,2019-05-21,DepartmentChange,D009,D001
E0022,2019-12-08,JobLevelChange,JL5,JL5
E0023,2023-06-13,JobLevelChange,JL5,JL3
E0023,2024-08-01,Promotion,JL3,JL4
E0023,2025-10-17,DepartmentChange,D002,D004
E0024,2024-05-22,DepartmentChange,D006,D007
E0025,2025-06-07,Promotion,JL2,JL3
E0026,2022-04-21,JobLevelChange,JL2,JL1
E0026,2023-04-17,JobLevelChange,JL1,JL5
E0027,2021-03-08,DepartmentChange,D009,D008
E0028,2021-09-14,DepartmentChange,D001,D006
E0028,2023-01-03,Promotion,JL1,JL2
E0028,2023-12-16,DepartmentChange,D006,D006
E0028,2025-04-17,DepartmentChange,D006,D007
E0029,2025-03-10,DepartmentChange,D006,D010
E0030,2025-06-04,JobLevelChange,JL4,JL6
E0031,2020-02-17,DepartmentChange,D002,D005
E0033,2025-08-22,JobLevelChange,JL1,JL4
E0034,2024-08-20,Promotion,JL1,JL2
E0035,2020-06-04,JobLevelChange,JL4,JL2
E0036,2022-07-01,JobLevelChange,JL1,JL6
E0036,2022-11-25,JobLevelChange,JL6,JL2
E0036,2023-03-26,DepartmentChange,D002,D009
E0038,2021-01-29,Promotion,JL6,JL6
E0038,2021-05-06,JobLevelChange,JL6,JL2
E0038,2022-08-10,Promotion,JL2,JL3
E0040,2020-12-26,JobLevelChange,JL2,JL3
E0040,2021-03-08,Promotion,JL3,JL4
E0040,2022-03-16,Promotion,JL4,JL5
E0042,2025-07-28,JobLevelChange,JL5,JL1
E0042,2025-10-22,DepartmentChange,D005,D006
E0043,2023-03-08,JobLevelChange,JL2,JL1
E0044,2025-01-25,Promotion,JL6,JL6
E0045,2023-04-18,DepartmentChange,D003,D004
E0046,2019-10-19,Promotion,JL1,JL2
E0048,2024-05-18,JobLevelChange,JL5,JL1
E0050,2021-01-11,JobLevelChange,JL1,JL1
E0050,2021-09-10,JobLevelChange,JL1,JL2
E0050,2022-12-26,JobLevelChange,JL2,JL3
E0050,2023-09-21,Promotion,JL3,JL4
E0050,2024-05-14,Promotion,JL4,JL5
E0051,2024-11-30,DepartmentChange,D003,D006
E0051,2025-12-31,Promotion,JL3,JL4
E0052,2022-11-15,JobLevelChange,JL4,JL6
E0053,2022-05-08,DepartmentChange,D007,D007
E0053,2023-05-23,JobLevelChange,JL5,JL6
E0053,2024-09-14,DepartmentChange,D007,D003
E0053,2025-11-09,DepartmentChange,D003,D008
E0054,2025-02-11,DepartmentChange,D003,D007
E0056,2025-04-12,Promotion,JL5,JL6
E0056,2025-08-06,DepartmentChange,D002,D010
E0057,2024-10-10,Promotion,JL6,JL6
E0057,2024-11-16,DepartmentChange,D008,D006
E0059,2020-09-19,DepartmentChange,D010,D001
E0059,2022-02-11,Promotion,JL3,JL4
E0059,2023-09-04,Promotion,JL4,JL5
E0060,2020-01-11,DepartmentChange,D006,D005
E0061,2024-09-22,DepartmentChange,D007,D010
E0061,2024-12-01,JobLevelChange,JL4,JL1
E0063,2023-11-27,DepartmentChange,D002,D006
E0065,2020-11-06,JobLevelChange,JL1,JL4
E0065,2021-07-12,Promotion,JL4,JL5
E0065,2022-09-06,Promotion,JL5,JL6
E0065,2024-01-25,JobLevelChange,JL6,JL5
E0066,2024-12-14,JobLevelChange,JL1,JL5
E0066,2025-10-13,JobLevelChange,JL5,JL1
E0067,2023-04-29,DepartmentChange,D001,D002
E0067,2024-08-16,JobLevelChange,JL5,JL3
E0067,2025-08-25,JobLevelChange,JL3,JL2
E0068,2019-11-06,DepartmentChange,D009,D007
E0068,2020-12-03,JobLevelChange,JL6,JL5
E0068,2021-12-11,Promotion,JL5,JL6
E0068,2022-09-24,Promotion,JL6,JL6
E0070,2025-11-17,JobLevelChange,JL3,JL5
E0071,2020-12-15,DepartmentChange,D001,D003
E0071,2022-03-09,JobLevelChange,JL5,JL2
E0071,2022-11-08,DepartmentChange,D003,D001
E0073,2025-03-11,DepartmentChange,D008,D001
E0075,2021-08-02,JobLevelChange,JL5,JL4
E0075,2022-01-23,DepartmentChange,D008,D009
E0076,2020-12-25,Promotion,JL5,JL6
E0076,2021-10-22,JobLevelChange,JL6,JL2
E0076,2022-06-03,Promotion,JL2,JL3
E0077,2025-06-21,DepartmentChange,D001,D008
E0079,2020-11-07,Promotion,JL1,JL2
