EmployeeID,TerminationDate,TerminationReason,DepartmentID
E0001,2025-04-14,Retirement,D004
E0003,2023-08-02,Retirement,D002
E0007,2025-08-30,Retirement,D006
E0013,2023-11-28,Retirement,D002
E0015,2024-11-28,Voluntary,D010
E0017,2025-10-25,Retirement,D004
E0020,2024-08-01,Retirement,D007
E0022,2025-06-20,Retirement,D001
E0024,2025-06-08,Voluntary,D007
E0029,2025-09-27,Voluntary,D010
E0032,2025-11-08,Involuntary,D006
E0038,2024-07-25,Retirement,D002
E0040,2023-08-04,Retirement,D010
E0043,2024-06-25,Involuntary,D003
E0044,2025-06-06,Retirement,D004
E0047,2025-12-31,Retirement,D007
E0048,2024-12-05,Involuntary,D001
E0052,2023-04-12,Voluntary,D006
E0061,2025-03-28,Involuntary,D010
E0065,2025-11-27,Retirement,D003
E0071,2023-01-28,Voluntary,D001
E0073,2025-06-05,Involuntary,D001
E0075,2022-01-30,Involuntary,D009
E0077,2025-12-29,Voluntary,D008
E0079,2021-06-09,Involuntary,D007
E0080,2023-08-20,Voluntary,D002
E0081,2023-05-04,Involuntary,D006
E0085,2025-06-03,Involuntary,D004
E0086,2025-09-07,Involuntary,D010
E0087,2020-11-28,Retirement,D005
E0088,2022-04-03,Retirement,D008
E0089,2025-09-20,Retirement,D002
E0092,2022-02-09,Voluntary,D007
E0094,2023-01-19,Involuntary,D003
E0098,2023-02-25,Involuntary,D001
E0099,2021-07-21,Retirement,D010
E0100,2025-12-17,Retirement,D009
E0101,2025-11-09,Involuntary,D004
E0113,2022-04-16,Retirement,D005
E0118,2020-12-14,Retirement,D003
E0119,2024-03-03,Involuntary,D010
E0122,2023-09-06,Involuntary,D007
E0132,2025-09-22,Involuntary,D006
E0137,2025-11-02,Retirement,D004
E0138,2025-12-15,Involuntary,D005
E0140,2024-08-06,Involuntary,D001
E0142,2025-10-31,Involuntary,D008
E0144,2024-03-13,Voluntary,D003
E0148,2025-11-11,Voluntary,D001
E0150,2025-08-26,Involuntary,D007
E0153,2021-04-05,Retirement,D003
E0165,2025-09-29,Voluntary,D009
E0172,2022-06-23,Retirement,D008
E0173,2021-02-07,Retirement,D005
E0174,2025-09-19,Voluntary,D009
E0179,2022-11-25,Retirement,D007
E0184,2022-05-19,Retirement,D008
E0198,2024-02-25,Retirement,D010
E0202,2024-09-13,Retirement,D010
E0207,2023-08-08,Retirement,D004
E0213,2025-11-02,Involuntary,D008
E0214,2025-08-20,Voluntary,D006
E0216,2023-07-13,Voluntary,D003
E0219,2025-07-27,Involuntary,D008
E0224,2024-06-25,Voluntary,D004
E0226,2020-12-06,Involuntary,D002
E0239,2019-08-24,Involuntary,D007
E0242,2023-05-31,Retirement,D005
E0251,2024-10-23,Retirement,D010
E0253,2025-12-07,Involuntary,D003
E0261,2024-12-04,Voluntary,D004
E0265,2023-07-15,Retirement,D001
E0267,2023-04-20,Retirement,D009
E0269,2025-10-24,Involuntary,D010
E0274,2021-05-26,Retirement,D002
E0277,2024-05-08,Retirement,D007
E0278,2024-09-07,Voluntary,D002
E0281,2025-11-04,Voluntary,D003
E0283,2023-03-17,Voluntary,D002
E0284,2023-08-25,Involuntary,D010
E0287,2025-01-14,Retirement,D002
E0293,2025-04-10,Voluntary,D007
E0294,2020-01-30,Involuntary,D008
E0295,2025-07-14,Retirement,D003
E0302,2025-12-25,Involuntary,D002
E0309,2024-12-07,Involuntary,D006
E0314,2024-07-20,Involuntary,D002
E0316,2025-08-15,Voluntary,D008
E0317,2023-10-01,Retirement,D007
E0318,2021-12-09,Voluntary,D007
E0323,2025-01-01,Retirement,D006
E0324,2024-11-29,Voluntary,D003
E0326,2021-12-09,Involuntary,D008
E0331,2024-11-25,Involuntary,D009
E0334,2024-07-22,Involuntary,D008
E0335,2025-12-27,Retirement,D009
E0337,2024-04-23,Involuntary,D009
E0342,2024-11-17,Involuntary,D009
E0344,2025-10-22,Involuntary,D004
E0348,2024-09-13,Retirement,D005
E0352,2020-06-17,Retirement,D007
E0354,2024-05-29,Involuntary,D006
E0355,2025-04-10,Involuntary,D008
E0358,2025-10-13,Retirement,D001
E0362,2025-07-25,Retirement,D009
E0364,2024-01-17,Involuntary,D009
E0367,2025-07-04,Retirement,D002
E0368,2025-08-30,Involuntary,D005
E0376,2021-03-21,Voluntary,D006
E0382,2019-09-24,Voluntary,D005
E0384,2025-03-07,Voluntary,D010
E0385,2023-05-31,Voluntary,D006
E0389,2025-12-13,Retirement,D005
E0391,2025-09-07,Involuntary,D010
E0397,2025-05-24,Involuntary,D009
E0398,2025-07-23,Involuntary,D010
E0399,2024-06-12,Voluntary,D002
E0400,2025-12-23,Retirement,D004
E0401,2025-08-21,Involuntary,D006
E0405,2025-07-31,Involuntary,D009
E0409,2023-12-10,Retirement,D005
E0411,2022-09-09,Retirement,D005
E0414,2025-10-09,Voluntary,D010
E0420,2024-07-01,Retirement,D009
E0421,2025-07-04,Voluntary,D003
E0427,2020-11-16,Voluntary,D007
E0431,2025-08-27,Retirement,D003
E0437,2025-08-27,Voluntary,D002
E0443,2025-12-25,Involuntary,D003
E0452,2025-08-18,Involuntary,D003
E0457,2022-06-10,Involuntary,D003
E0465,2025-08-12,Involuntary,D004
E0467,2023-11-01,Involuntary,D008
E0472,2024-11-05,Retirement,D008
E0477,2022-06-30,Voluntary,D005
E0480,2025-12-15,Involuntary,D005
E0484,2024-08-06,Involuntary,D006
E0486,2025-03-27,Voluntary,D002
E0489,2025-05-26,Voluntary,D010
E0506,2025-12-11,Retirement,D004
E0508,2024-12-26,Involuntary,D002
E0518,2024-07-08,Retirement,D001
E0520,2025-08-10,Retirement,D009
E0523,2025-04-18,Retirement,D010
E0525,2025-05-04,Voluntary,D001
E0526,2024-03-04,Retirement,D009
E0529,2020-07-27,Involuntary,D007
E0533,2024-12-04,Involuntary,D001
E0541,2025-04-26,Retirement,D009
E0545,2023-06-20,Retirement,D004
E0550,2025-01-09,Retirement,D001
E0555,2022-01-30,Involuntary,D010
E0556,2025-06-29,Retirement,D008
E0558,2020-12-23,Voluntary,D006
E0561,2024-07-17,Retirement,D009
E0563,2023-03-04,Retirement,D006
E0569,2023-02-11,Retirement,D002
E0570,2021-08-10,Voluntary,D010
E0572,2025-01-16,Voluntary,D010
E0576,2021-05-06,Retirement,D005
E0580,2025-12-05,Voluntary,D008
E0582,2024-04-18,Involuntary,D007
E0584,2025-12-28,Retirement,D010
E0590,2023-11-17,Voluntary,D009
E0599,2025-02-17,Involuntary,D010
E0601,2025-06-05,Involuntary,D002
E0603,2025-04-18,Retirement,D001
E0604,2024-07-23,Retirement,D010
E0607,2025-05-02,Involuntary,D001
E0609,2025-03-21,Retirement,D004
E0612,2019-09-14,Voluntary,D004
E0618,2020-07-11,Voluntary,D008
E0619,2025-04-25,Retirement,D006
E0622,2025-11-22,Retirement,D001
E0623,2025-12-07,Voluntary,D003
E0624,2025-11-19,Involuntary,D002
E0625,2025-10-10,Involuntary,D003
E0626,2024-09-03,Involuntary,D001
E0630,2025-12-24,Involuntary,D002
E0632,2023-11-02,Voluntary,D001
E0638,2025-02-20,Involuntary,D002
E0639,2025-04-15,Voluntary,D003
E0643,2025-02-16,Voluntary,D010
E0645,2024-02-03,Voluntary,D008
E0653,2021-07-07,Voluntary,D007
E0655,2024-03-18,Voluntary,D009
E0659,2022-02-19,Retirement,D005
E0661,2020-08-22,Voluntary,D004
E0665,2025-01-11,Voluntary,D006
E0669,2022-01-11,Voluntary,D002
E0670,2021-03-12,Voluntary,D004
E0679,2025-10-28,Voluntary,D009
E0685,2022-03-16,Retirement,D005
E0687,2024-03-30,Retirement,D002
E0691,2025-03-25,Voluntary,D003
E0692,2025-10-21,Retirement,D002
E0696,2025-05-28,Retirement,D003
E0699,2022-09-11,Voluntary,D003
E0707,2025-09-06,Involuntary,D002
E0709,2024-06-07,Voluntary,D003
E0711,2024-12-08,Involuntary,D005
E0712,2020-02-01,Involuntary,D001
E0713,2022-10-14,Retirement,D005
E0717,2023-06-20,Retirement,D009
E0725,2025-05-24,Voluntary,D006
E0726,2025-03-27,Voluntary,D010
E0729,2025-04-19,Retirement,D003
E0730,2024-10-08,Retirement,D010
E0731,2025-09-11,Voluntary,D006
E0732,2025-03-18,Voluntary,D002
E0733,2025-08-17,Retirement,D007
E0737,2025-02-01,Retirement,D002
E0739,2023-12-29,Involuntary,D007
E0744,2020-10-23,Involuntary,D006
E0750,2025-09-16,Voluntary,D004
E0751,2025-10-06,Involuntary,D005
E0752,2024-04-03,Retirement,D010
E0754,2024-03-14,Retirement,D007
E0755,2025-12-02,Voluntary,D001
E0759,2023-03-16,Voluntary,D005
E0760,2025-08-23,Involuntary,D007
E0771,2021-08-21,Involuntary,D002
E0775,2025-06-07,Retirement,D010
E0776,2023-10-15,Retirement,D004
E0781,2019-12-05,Involuntary,D002
E0783,2025-01-27,Retirement,D006
E0785,2025-01-31,Involuntary,D003
E0786,2023-09-06,Involuntary,D003
E0793,2024-01-26,Retirement,D006
E0794,2025-05-17,Retirement,D004
E0796,2024-03-15,Retirement,D001
E0797,2024-11-12,Voluntary,D003
E0801,2021-09-01,Retirement,D006
E0802,2025-01-10,Voluntary,D003
E0806,2021-07-21,Voluntary,D007
E0807,2023-06-29,Voluntary,D010
E0811,2025-06-30,Involuntary,D001
E0812,2025-08-10,Involuntary,D008
E0815,2024-03-28,Involuntary,D008
E0822,2025-07-21,Involuntary,D002
E0830,2023-12-05,Retirement,D003
E0831,2023-09-02,Involuntary,D007
E0834,2024-12-19,Retirement,D005
E0836,2024-10-14,Involuntary,D006
E0837,2025-08-04,Voluntary,D002
E0840,2024-04-14,Voluntary,D003
E0841,2024-09-03,Voluntary,D006
E0844,2022-03-29,Retirement,D009
E0847,2020-02-20,Retirement,D004
E0849,2024-04-02,Voluntary,D001
E0852,2021-01-13,Involuntary,D002
E0864,2025-01-22,Retirement,D003
E0869,2023-10-18,Voluntary,D007
E0871,2024-01-19,Voluntary,D001
E0872,2022-10-21,Retirement,D002
E0874,2025-05-18,Retirement,D004
E0878,2022-07-27,Voluntary,D009
E0886,2024-06-26,Retirement,D010
E0888,2022-06-05,Involuntary,D007
E0889,2025-03-17,Involuntary,D007
E0891,2021-11-23,Involuntary,D007
E0894,2022-09-13,Voluntary,D006
E0904,2025-01-09,Involuntary,D003
E0905,2025-05-22,Voluntary,D008
E0906,2022-10-17,Involuntary,D009
E0912,2025-03-16,Retirement,D006
E0914,2025-03-09,Voluntary,D009
E0916,2024-08-21,Involuntary,D008
E0932,2021-03-27,Retirement,D005
E0935,2022-10-14,Retirement,D001
E0938,2023-10-31,Voluntary,D002
E0939,2025-12-21,Voluntary,D005
E0943,2023-08-30,Involuntary,D001
E0945,2025-12-27,Involuntary,D007
E0948,2022-02-02,Voluntary,D004
E0949,2025-10-07,Retirement,D006
E0954,2022-08-14,Involuntary,D009
E0960,2023-06-01,Involuntary,D002
E0961,2025-08-24,Voluntary,D002
E0979,2020-05-27,Involuntary,D008
E0980,2025-05-18,Retirement,D010
E0993,2025-07-30,Involuntary,D009
E0996,2022-09-20,Retirement,D004
