EmployeeID,EffectiveFrom,EffectiveTo,Event,DepartmentID,Gender,JobLevelID,Status
E0001,2024-03-01,2025-04-13,Hire,D004,F,JL4,Active
E0001,2025-04-14,2025-04-14,Termination: Retirement,D004,F,JL4,Inactive
E0002,2020-12-06,9999-12-31,Hire,D006,F,JL2,Active
E0003,2023-03-06,2023-08-01,Hire,D002,F,JL1,Active
E0003,2023-08-02,2023-08-02,Termination: Retirement,D002,F,JL1,Inactive
E0004,2019-04-29,2019-07-15,Hire,D001,F,JL4,Active
E0004,2019-07-16,2020-03-02,Promotion,D001,F,JL5,Active
E0004,2020-03-03,2020-08-26,Promotion,D001,F,JL6,Active
E0004,2020-08-27,2022-01-23,Promotion,D001,F,JL6,Active
E0004,2022-01-24,9999-12-31,Promotion,D001,F,JL6,Active
E0005,2024-05-23,2024-12-07,Hire,D001,M,JL2,Active
E0005,2024-12-08,9999-12-31,DepartmentChange,D004,M,JL2,Active
E0006,2025-08-06,9999-12-31,Hire,D004,M,JL2,Active
E0007,2025-08-06,2025-08-20,Hire,D006,F,JL3,Active
E0007,2025-08-21,2025-08-29,Promotion,D006,F,JL4,Active
E0007,2025-08-30,2025-08-30,Termination: Retirement,D006,F,JL4,Inactive
E0008,2022-11-24,2024-02-08,Hire,D008,M,JL2,Active
E0008,2024-02-09,2024-03-30,DepartmentChange,D003,M,JL2,Active
E0008,2024-03-31,9999-12-31,Promotion,D003,M,JL3,Active
E0009,2022-12-17,2023-07-03,Hire,D009,M,JL3,Active
E0009,2023-07-04,2024-05-25,Promotion,D009,M,JL4,Active
E0009,2024-05-26,9999-12-31,Promotion,D009,M,JL5,Active
E0010,2024-12-28,9999-12-31,Hire,D009,M,JL2,Active
E0011,2023-12-30,2024-05-11,Hire,D002,M,JL2,Active
E0011,2024-05-12,2024-11-30,DepartmentChange,D007,M,JL2,Active
E0011,2024-12-01,2025-04-27,JobLevelChange,D007,M,JL1,Active
E0011,2025-04-28,9999-12-31,Promotion,D007,M,JL2,Active
E0012,2019-09-09,2020-03-16,Hire,D004,F,JL3,Active
E0012,2020-03-17,9999-12-31,DepartmentChange,D001,F,JL3,Active
E0013,2021-07-23,2022-10-31,Hire,D002,M,JL3,Active
E0013,2022-11-01,2023-09-23,JobLevelChange,D002,M,JL1,Active
E0013,2023-09-24,2023-11-27,Promotion,D002,M,JL2,Active
E0013,2023-11-28,2023-11-28,Termination: Retirement,D002,M,JL2,Inactive
E0014,2022-01-23,9999-12-31,Hire,D001,M,JL6,Active
E0015,2020-04-29,2020-11-06,Hire,D006,M,JL6,Active
E0015,2020-11-07,2021-09-26,Promotion,D006,M,JL6,Active
E0015,2021-09-27,2023-02-26,Promotion,D006,M,JL6,Active
E0015,2023-02-27,2023-09-10,Promotion,D006,M,JL6,Active
E0015,2023-09-11,2024-03-10,DepartmentChange,D010,M,JL6,Active
E0015,2024-03-11,2024-11-27,JobLevelChange,D010,M,JL1,Active
E0015,2024-11-28,2024-11-28,Termination: Voluntary,D010,M,JL1,Inactive
E0016,2025-02-01,9999-12-31,Hire,D007,F,JL1,Active
E0017,2025-08-22,2025-10-24,Hire,D004,M,JL1,Active
E0017,2025-10-25,2025-10-25,Termination: Retirement,D004,M,JL1,Inactive
E0018,2021-04-10,2022-01-31,Hire,D007,M,JL2,Active
E0018,2022-02-01,2022-06-28,JobLevelChange,D007,M,JL1,Active
E0018,2022-06-29,2023-09-18,JobLevelChange,D007,M,JL4,Active
E0018,2023-09-19,2024-12-18,DepartmentChange,D008,M,JL4,Active
E0018,2024-12-19,9999-12-31,DepartmentChange,D001,M,JL4,Active
E0019,2023-01-17,2024-08-26,Hire,D008,M,JL1,Active
E0019,2024-08-27,2025-07-24,DepartmentChange,D006,M,JL1,Active
E0019,2025-07-25,9999-12-31,Promotion,D006,M,JL2,Active
E0020,2023-06-06,2024-03-30,Hire,D001,M,JL4,Active
E0020,2024-03-31,2024-06-10,DepartmentChange,D007,M,JL4,Active
E0020,2024-06-11,2024-07-31,JobLevelChange,D007,M,JL1,Active
E0020,2024-08-01,2024-08-01,Termination: Retirement,D007,M,JL1,Inactive
E0021,2024-10-20,9999-12-31,Hire,D001,F,JL4,Active
E0022,2019-04-10,2019-05-20,Hire,D009,F,JL5,Active
E0022,2019-05-21,2019-12-07,DepartmentChange,D001,F,JL5,Active
E0022,2019-12-08,2025-06-19,JobLevelChange,D001,F,JL5,Active
