EmployeeID,DepartmentID,Gender,JobLevelID,MonthEnd
E0106,D001,F,JL1,2019-01-31
E0173,D005,M,JL6,2019-01-31
E0183,D005,M,JL5,2019-01-31
E0226,D007,F,JL4,2019-01-31
E0343,D008,F,JL2,2019-01-31
E0759,D005,M,JL4,2019-01-31
E0815,D009,F,JL6,2019-01-31
E0883,D009,M,JL3,2019-01-31
E0927,D006,M,JL2,2019-01-31
E0931,D010,M,JL5,2019-01-31
E0969,D003,F,JL5,2019-01-31
E0991,D010,M,JL5,2019-01-31
E0106,D001,F,JL1,2019-02-28
E0169,D001,F,JL2,2019-02-28
E0173,D005,M,JL6,2019-02-28
E0177,D005,F,JL4,2019-02-28
E0183,D005,M,JL5,2019-02-28
E0198,D001,F,JL3,2019-02-28
E0226,D007,F,JL4,2019-02-28
E0246,D002,M,JL5,2019-02-28
E0343,D008,F,JL2,2019-02-28
E0433,D001,M,JL1,2019-02-28
E0447,D001,M,JL2,2019-02-28
E0537,D004,F,JL2,2019-02-28
E0546,D002,F,JL5,2019-02-28
E0620,D009,F,JL4,2019-02-28
E0706,D005,M,JL1,2019-02-28
E0759,D005,M,JL4,2019-02-28
E0771,D009,M,JL5,2019-02-28
E0815,D009,F,JL6,2019-02-28
E0883,D009,M,JL3,2019-02-28
E0918,D006,M,JL6,2019-02-28
E0927,D006,M,JL2,2019-02-28
E0931,D010,M,JL5,2019-02-28
E0969,D003,F,JL5,2019-02-28
E0982,D003,M,JL3,2019-02-28
E0991,D010,M,JL5,2019-02-28
E0106,D001,F,JL1,2019-03-31
E0115,D009,F,JL3,2019-03-31
E0169,D001,F,JL2,2019-03-31
E0173,D005,M,JL6,2019-03-31
E0177,D005,F,JL4,2019-03-31
E0183,D005,M,JL5,2019-03-31
E0188,D004,M,JL5,2019-03-31
E0198,D001,F,JL3,2019-03-31
E0226,D007,F,JL4,2019-03-31
E0246,D002,M,JL5,2019-03-31
E0343,D008,F,JL2,2019-03-31
E0359,D006,M,JL1,2019-03-31
E0419,D008,M,JL5,2019-03-31
E0433,D001,M,JL1,2019-03-31
E0447,D001,M,JL2,2019-03-31
E0509,D006,F,JL6,2019-03-31
E0537,D004,F,JL2,2019-03-31
E0546,D002,F,JL5,2019-03-31
E0562,D009,M,JL1,2019-03-31
E0563,D006,M,JL3,2019-03-31
E0578,D003,F,JL2,2019-03-31
E0612,D004,M,JL3,2019-03-31
E0620,D009,F,JL4,2019-03-31
E0634,D008,M,JL4,2019-03-31
E0661,D003,M,JL5,2019-03-31
E0706,D005,M,JL1,2019-03-31
E0759,D005,M,JL4,2019-03-31
E0760,D005,M,JL1,2019-03-31
E0771,D009,M,JL5,2019-03-31
E0815,D009,F,JL6,2019-03-31
E0883,D009,M,JL3,2019-03-31
E0918,D006,M,JL6,2019-03-31
E0927,D006,M,JL2,2019-03-31
E0931,D010,M,JL4,2019-03-31
E0968,D004,M,JL6,2019-03-31
E0969,D003,F,JL5,2019-03-31
E0982,D003,M,JL3,2019-03-31
E0987,D006,M,JL1,2019-03-31
E0991,D010,M,JL5,2019-03-31
E0004,D001,F,JL4,2019-04-30
E0022,D009,F,JL5,2019-04-30
E0106,D001,F,JL1,2019-04-30
E0115,D009,F,JL3,2019-04-30
